Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax,Total,Date,Time,Payment,COGS,Gross margin percentage,Gross income,Rating
751-000000,A,Naypyidaw,Member,Male,Health and beauty,424.11,1,0.0698,453.71,01/01/2022,12:09:06,Cash,166.74,63.25,286.97,6.2
751-000001,A,Yangon,Normal,Female,Book and media,400.0,7,0.0716,3000.48,01/01/2022,13:54:00,E wallet,1076.87,64.11,1923.61,8.4
751-000002,A,Naypyidaw,Member,Female,Sports and outdoors,95.81,2,0.0785,206.66,01/01/2022,16:35:20,E wallet,91.03,55.95,115.63,7.6
751-000003,C,Mandalay,Normal,Male,Health and beauty,339.65,4,0.0501,1426.67,02/01/2022,04:51:23,E wallet,776.11,45.6,650.56,5.1
751-000004,C,Mandalay,Member,Female,Food and beverages,118.05,9,0.063,1129.38,02/01/2022,22:24:06,Credit card,533.41,52.77,595.97,5.8
751-000005,B,Naypyidaw,Member,Female,Health and beauty,116.92,6,0.0759,754.77,02/01/2022,09:16:28,Credit card,328.48,56.48,426.29,6.0
751-000006,C,Mandalay,Normal,Male,Book and media,438.3,8,0.0861,3808.3,03/01/2022,06:32:06,E wallet,1509.99,60.35,2298.31,7.4
751-000007,C,Mandalay,Member,Male,Health and beauty,132.34,2,0.0587,280.22,04/01/2022,10:08:11,E wallet,117.05,58.23,163.17,9.0
751-000008,B,Mandalay,Member,Male,Sports and outdoors,138.99,7,0.0773,1048.14,05/01/2022,02:03:35,Cash,504.99,51.82,543.15,9.6
751-000009,C,Mandalay,Member,Female,Home and lifestyle,10.32,6,0.0857,67.23,05/01/2022,12:22:18,Cash,34.99,47.96,32.24,8.5
751-000010,A,Naypyidaw,Normal,Male,Book and media,436.63,9,0.0722,4213.39,05/01/2022,09:36:38,Credit card,2315.26,45.05,1898.13,9.1
751-000011,A,Yangon,Member,Female,Food and beverages,398.37,7,0.0514,2931.92,05/01/2022,15:32:11,Credit card,1148.73,60.82,1783.19,6.8
751-000012,B,Yangon,Member,Male,Sports and outdoors,317.39,1,0.0725,340.4,06/01/2022,01:06:10,Cash,138.34,59.36,202.06,6.3
751-000013,B,Mandalay,Normal,Female,Health and beauty,377.63,8,0.0648,3216.8,07/01/2022,12:30:01,E wallet,1266.78,60.62,1950.02,6.4
751-000014,B,Yangon,Normal,Male,Health and beauty,84.5,3,0.0965,277.96,08/01/2022,06:14:56,Cash,135.7,51.18,142.26,7.7
751-000015,A,Yangon,Normal,Male,Home and lifestyle,234.58,2,0.0562,495.53,08/01/2022,10:33:38,Credit card,258.32,47.87,237.21,4.7
751-000016,C,Mandalay,Member,Female,Food and beverages,182.1,3,0.0826,591.42,09/01/2022,03:10:28,Credit card,220.07,62.79,371.35,7.5
751-000017,A,Mandalay,Member,Female,Food and beverages,55.95,6,0.0526,353.36,09/01/2022,01:15:38,Cash,130.0,63.21,223.36,8.0
751-000018,B,Yangon,Member,Female,Electronic accessories,248.2,3,0.0723,798.43,10/01/2022,12:36:16,Cash,369.91,53.67,428.52,6.6
751-000019,C,Naypyidaw,Normal,Female,Food and beverages,461.16,5,0.0777,2484.96,10/01/2022,20:43:18,Cash,1034.74,58.36,1450.22,9.7
751-000020,C,Mandalay,Member,Female,Home and lifestyle,29.63,6,0.0649,189.32,12/01/2022,06:37:07,Credit card,92.37,51.21,96.95,7.6
751-000021,A,Naypyidaw,Member,Female,Clothing and accessories,152.82,8,0.0728,1311.56,12/01/2022,12:36:01,E wallet,510.72,61.06,800.84,5.3
751-000022,B,Yangon,Normal,Male,Electronic accessories,111.7,35,0.0582,8274.1,13/01/2022,08:10:23,Cash,289.01,65.07,538.4,6.9
751-000023,A,Mandalay,Normal,Female,Electronic accessories,126.69,8,0.0652,1079.6,14/01/2022,05:25:06,Credit card,424.82,60.65,654.78,8.1
751-000024,C,Naypyidaw,Normal,Male,Health and beauty,455.13,3,0.0811,1476.12,15/01/2022,06:18:05,Credit card,658.64,55.38,817.48,5.9
751-000025,A,Mandalay,Normal,Male,Health and beauty,239.35,4,0.0651,1019.73,15/01/2022,10:28:42,Credit card,471.52,53.76,548.21,4.5
751-000026,A,Yangon,Normal,Female,Food and beverages,238.49,6,0.095,1566.88,15/01/2022,06:01:18,Cash,638.19,59.27,928.69,7.5
751-000027,B,Naypyidaw,Member,Male,Electronic accessories,382.68,7,0.0814,2896.81,16/01/2022,03:57:05,Cash,1147.43,60.39,1749.38,9.7
751-000028,B,Yangon,Normal,Female,Health and beauty,85.7,9,0.0719,826.76,17/01/2022,16:56:36,E wallet,357.49,56.76,469.27,6.9
751-000029,C,Yangon,Member,Female,Home and lifestyle,248.76,1,0.0519,261.67,18/01/2022,06:08:24,Credit card,107.94,58.75,153.73,9.4
751-000030,A,Mandalay,Member,Male,Health and beauty,220.69,8,0.075,1897.93,19/01/2022,00:00:50,Cash,1083.72,42.9,814.21,9.0
751-000031,A,Naypyidaw,Normal,Male,Book and media,302.49,8,0.0882,2633.36,20/01/2022,05:17:09,Credit card,828.19,68.55,1805.17,4.9
751-000032,A,Yangon,Normal,Female,Book and media,499.78,6,0.0633,3188.5,21/01/2022,10:32:00,Credit card,1156.79,63.72,2031.71,8.2
751-000033,C,Yangon,Normal,Female,Health and beauty,387.03,4,0.0903,1687.92,21/01/2022,12:36:19,E wallet,823.37,51.22,864.55,6.6
751-000034,C,Naypyidaw,Member,Male,Electronic accessories,204.95,3,0.0626,653.34,22/01/2022,00:51:02,Cash,281.72,56.88,371.62,5.5
751-000035,B,Yangon,Normal,Male,Clothing and accessories,415.5,3,0.0912,1360.18,22/01/2022,17:40:13,Cash,796.79,41.42,563.39,8.1
751-000036,B,Yangon,Normal,Male,Clothing and accessories,93.65,6,0.0543,592.41,23/01/2022,16:54:45,Credit card,348.1,41.24,244.31,8.5
751-000037,B,Naypyidaw,,Male,Electronic accessories,24.93,8,0.0933,218.05,23/01/2022,03:36:25,Credit card,114.43,47.52,103.62,5.1
751-000038,A,Naypyidaw,Normal,Female,Sports and outdoors,110.18,7,0.075,829.1,25/01/2022,20:16:21,E wallet,325.92,60.69,503.18,9.5
751-000039,A,Naypyidaw,Normal,Female,Clothing and accessories,176.8,1,0.0648,188.26,25/01/2022,01:54:21,E wallet,64.84,65.56,123.42,8.5
751-000040,B,Naypyidaw,Member,Female,Book and media,260.18,6,0.0633,1659.9,26/01/2022,04:03:35,E wallet,717.41,56.78,942.49,9.6
751-000041,A,Mandalay,Member,Female,Home and lifestyle,311.41,7,0.0716,2335.95,26/01/2022,05:51:20,E wallet,1028.75,55.96,1307.2,5.9
751-000042,B,Naypyidaw,Member,Male,Electronic accessories,456.2,7,0.1,3512.74,27/01/2022,12:53:36,E wallet,1683.66,52.07,1829.08,9.6
751-000043,C,Mandalay,Normal,Male,Food and beverages,259.83,9,0.061,2481.12,28/01/2022,22:24:25,E wallet,1368.34,44.85,1112.78,6.2
751-000044,B,Mandalay,Normal,Female,Book and media,255.63,5,0.0552,1348.7,28/01/2022,22:38:19,Credit card,761.34,43.55,587.36,4.3
751-000045,C,Mandalay,Normal,Female,Home and lifestyle,34.62,1,0.0793,37.37,28/01/2022,00:13:55,E wallet,13.89,62.82,23.48,8.6
751-000046,A,Yangon,Member,Female,Home and lifestyle,27.11,2,0.0744,58.25,28/01/2022,03:16:20,Credit card,18.74,67.83,39.51,8.2
751-000047,B,Mandalay,Normal,Female,Electronic accessories,280.07,4,0.0762,1205.65,29/01/2022,13:15:45,Credit card,557.61,53.75,648.04,7.6
751-000048,A,Mandalay,Normal,Female,Home and lifestyle,224.71,5,0.0833,1217.14,02/02/2022,15:55:19,Cash,489.53,59.78,727.61,6.9
751-000049,C,Yangon,Normal,Female,Electronic accessories,421.2,9,0.0634,4031.14,02/02/2022,07:23:02,Credit card,1312.94,67.43,2718.2,
751-000050,C,Yangon,Member,Female,Clothing and accessories,88.73,1,0.0955,97.2,03/02/2022,18:32:01,Credit card,55.7,42.7,41.5,7.7
751-000051,C,Yangon,Normal,Female,Health and beauty,22.24,3,0.0718,71.51,03/02/2022,14:21:09,E wallet,26.38,63.11,45.13,6.5
751-000052,A,Naypyidaw,Member,Female,Book and media,230.03,5,0.0565,1215.13,04/02/2022,17:21:45,Credit card,504.28,58.5,710.85,7.4
751-000053,A,Yangon,Normal,Male,Sports and outdoors,126.36,3,0.0871,412.1,04/02/2022,16:26:12,E wallet,173.25,57.96,238.85,6.6
751-000054,A,Yangon,Member,Female,Health and beauty,34.31,4,0.0822,148.52,05/02/2022,00:04:25,E wallet,76.07,48.78,72.45,9.8
751-000055,A,Mandalay,Member,Male,Book and media,365.05,3,0.0658,1167.21,05/02/2022,12:26:56,E wallet,460.81,60.52,706.4,7.6
751-000056,C,Yangon,Member,Male,Electronic accessories,64.68,4,0.0811,279.7,06/02/2022,13:23:02,Cash,101.14,63.84,178.56,8.5
751-000057,C,Naypyidaw,Normal,Female,Book and media,308.08,1,0.061,326.87,06/02/2022,14:50:48,E wallet,185.04,43.39,141.83,9.6
751-000058,B,Yangon,Normal,Female,Clothing and accessories,147.71,8,0.0722,1267.0,06/02/2022,02:47:13,Credit card,557.35,56.01,709.65,7.5
751-000059,B,Naypyidaw,Member,Male,Electronic accessories,95.01,4,0.095,416.14,07/02/2022,11:27:43,E wallet,237.03,43.04,179.11,4.1
751-000060,A,Yangon,Member,Male,Health and beauty,196.08,7,0.0567,1450.38,08/02/2022,10:16:39,E wallet,490.52,66.18,959.86,4.2
751-000061,C,Yangon,Normal,Female,Food and beverages,402.71,2,0.0693,861.24,08/02/2022,16:20:56,E wallet,385.58,55.23,475.66,8.2
751-000062,C,Yangon,Normal,Male,Food and beverages,202.13,2,0.0911,441.09,08/02/2022,22:19:10,Cash,157.73,64.24,283.36,5.7
751-000063,C,Yangon,Member,Female,Book and media,377.88,6,0.0985,2490.61,08/02/2022,01:09:09,Credit card,1219.4,51.04,1271.21,7.5
751-000064,B,Naypyidaw,Normal,Female,Food and beverages,71.49,2,0.0727,153.37,09/02/2022,10:05:35,Cash,86.27,43.75,67.1,5.2
751-000065,B,Naypyidaw,Normal,Female,Electronic accessories,388.66,6,0.0753,2507.56,10/02/2022,11:42:54,Credit card,1473.44,41.24,1034.12,5.6
751-000066,C,Mandalay,Normal,Male,Home and lifestyle,126.1,2,0.0786,272.02,10/02/2022,22:26:57,Cash,140.23,48.45,131.79,7.0
751-000067,C,Naypyidaw,Normal,Male,Electronic accessories,341.92,4,0.0966,1499.8,10/02/2022,12:36:05,Credit card,789.94,47.33,709.86,9.9
751-000068,C,Yangon,Member,Female,Home and lifestyle,287.23,7,0.0929,2197.4,11/02/2022,00:05:49,Cash,949.06,56.81,1248.34,7.7
751-000069,B,Mandalay,Normal,Male,Health and beauty,465.28,8,0.0585,3939.99,12/02/2022,21:40:23,E wallet,2338.38,40.65,1601.61,9.6
751-000070,C,Mandalay,Normal,Male,Sports and outdoors,199.79,3,0.0718,642.4,12/02/2022,14:25:07,Cash,285.1,55.62,357.3,9.8
